"CASE	""SERIAL""	""REF""	""QUESTNNR""	""MODE""	""STARTED""	""E001""	""E002""	""E003_01""	""E004""	""E004_02""	""E004_03""	""E004_04""	""E004_05""	""E004_16""	""E004_06""	""E004_07""	""E004_08""	""E004_09""	""E004_10""	""E004_12""	""E004_13""	""E004_14""	""E004_15""	""E004_15a""	""E005""	""E006""	""J001_01""	""J001_02""	""J003""	""J004""	""J005""	""J006""	""J007""	""J008""	""P001_01""	""P002""	""P005""	""P003""	""P004_01""	""P004_02""	""PP01""	""PP02_01""	""PP02_02""	""ZG01_CP""	""ZG01""	""P101_01""	""P101_02""	""P102""	""P103_01""	""P104""	""P105_01""	""P106_01""	""P106_02""	""P106_03""	""P106_04""	""SD01""	""SD02""	""SD04""	""SD04_01""	""SD04_02""	""SD04_03""	""SD04_04""	""SD04_05""	""SD04_06""	""SD04_07""	""SD04_08""	""SD04_09""	""SD04_10""	""SD04_11""	""SD04_11a""	""SD06""	""SD07""	""SD08""	""FINISHED""	""Q_VIEWER""	""LASTPAGE""	""MAXPAGE""	""MISSING""	""MISSREL""	""DEG_MISS""	""DEG_TIME""	""DEGRADE"""
"563			""base""	""interview""	2016-05-31 00:15:09	1	1		9	F	T	T	T	F	T	T	T	T	F	F	T	T	F		1	2	5	4	2			1	2		30	3	2	4			4			23	2	2	2	4		4		3	3	2	4	2	4	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	2	T	F	21	21	26	5	67	20	87"
"580			""base""	""interview""	2016-05-31 06:44:10	2	1																												5	1	2	4			4			24	1		5	4		4		5	5	5	3	1	4	2	F	F	F	T	F	F	F	F	F	F	T	""3""	2	X-9	3	T	F	21	21	33	8	103	32	136"
"584			""base""	""interview""	2016-05-31 08:17:39	2	1																												10	1	1	4			4			24	2	3	3	4		4		4	3	3	2	2	5	2	F	F	F	F	F	T	F	T	F	F	F		10	3	2	T	F	21	21	28	1	7	23	31"
"595			""base""	""interview""	2016-05-31 10:24:50	2	1																												5	2	1	4			4			25	2	4	2	4		4		4	5	3	5	1	6	2	F	F	F	F	F	F	T	T	F	F	F		10	2	2	T	F	21	21	28	1	7	42	49"
"600			""base""	""interview""	2016-05-31 15:27:48	1	1	""4""	4	F	T	F	F	F	T	T	F	F	F	F	F	T	F		2	1	4	4	2			5	2		20	2	2	4			4			25	1	3	2	4		4		3	3	3	4	1	5	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	24	3	26	2	27"
"603			""base""	""interview""	2016-05-31 16:34:03	1	1	""2""	2	F	F	F	F	F	T	F	F	F	F	F	F	T	F		3	2	5	5	2			5	2		5	2	2	1			4			26	2	5		4		4				5	5	1	7	1	F	F	F	T	F	F	F	F	F	F	F		4	3	3	T	F	21	21	29	11	143	4	147"
"609			""base""	""interview""	2016-05-31 17:49:27	1	1	""4""	4	T	F	T	F	F	T	F	F	T	F	F	F	F	F		1	3	3	3	2			3	2		20	3	2	4			4			26	1	1	5	4		4		3		2	2	1	6	1	T	F	F	F	F	F	F	F	F	F	F		4	2	2	T	F	21	21	24	4	49	47	96"
"610			""base""	""interview""	2016-05-31 18:30:08	2	1																												20	2	1	4			4			27	2	2	2	4		4		4	4	3	5	2	4	1	F	F	F	F	F	T	F	F	F	F	F		10	3	3	T	F	21	21	28	1	7	3	11"
"618			""base""	""interview""	2016-05-31 21:38:40	1	1	""3""	3	F	F	T	F	T	F	F	F	F	F	F	F	F	T	""The Economist""	5	1	5	2	2			5	2		100	3	2	4			4			27	1	1	1	4		4		5	2	2	5	1	6	1	T	F	F	F	F	F	F	F	F	F	F		4	2	1	T	F	21	21	21	1	2	29	31"
"622			""base""	""interview""	2016-06-01 12:32:25	1	2		3	F	T	F	F	F	T	F	T	F	F	F	F	F	F		2	2	3	4	2			3	2		3.99	2	1	4			4			28	1	1	1	4		4		3	4	3	3	1	6	1	T	F	F	F	F	F	F	F	F	F	F		10	2	2	T	F	21	21	22	1	3	10	12"
"624			""base""	""interview""	2016-06-01 14:02:53	1	1	""2""	2	F	F	F	F	F	F	T	F	T	F	F	F	F	F		3	3	5	4	2			3	1	1	10	2	2	1		5	4			28	2	2	4	4	""10""	4		4	5	5	5	1	5	2	F	F	F	T	T	F	F	F	F	F	F		1	X-9	3	T	F	21	21	18	2	21	2	23"
"625			""base""	""interview""	2016-06-01 14:28:08	2	1																												10	2	2	4			4			29	2	2	3	4		4		4	3	3	2	1	4	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	31	4	41	14	55"
"630			""base""	""interview""	2016-06-01 14:47:03	2	2																												0.5	2	1	4			4			29	1	1	1	4		4		4	3	4	4	1	6	5	T	F	F	F	F	F	T	T	T	T	F		4	2	3	T	F	21	21	28	1	7	12	20"
"632			""base""	""interview""	2016-06-01 15:07:17	2	1																												0	2	1	4			4			30	2	1	1	4		4		5	1	4	4	2	6	1	T	F	F	F	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	31	4	41	47	88"
"641			""base""	""interview""	2016-06-01 16:38:24	1	1		6	F	F	T	T	F	F	F	T	T	T	F	F	T	F		1	1	5	5	1	1	3		1	2	10	2	2	4			4			31	1	2	2	4		4		3	4	3	4	2	5	1	F	F	F	F	T	F	F	F	F	F	F		X-9	2	2	T	F	21	21	25	7	82	45	127"
"663			""base""	""interview""	2016-06-02 00:35:06	2	1																												2	2	2	4			4			31	2	1	4	4		4		1	2	2	2	1	X-9	2	F	F	F	T	F	F	F	T	F	F	F		2	X-9	4	T	F	21	21	34	8	105	12	117"
"664			""base""	""interview""	2016-06-02 01:30:20	1	1	""2""	2	F	F	F	F	F	T	F	F	F	F	F	F	F	T	""Bild""	1	1	5	3	2			5	1	2	0	2	2	4			4			32	1	4		4		4		3	2	3	4	1	6	2	F	F	F	T	F	F	T	F	F	F	F		2	X-9	3	T	F	21	21	25	5	67	3	70"
"667			""base""	""interview""	2016-06-02 08:52:38	1	1	""5""	5	F	F	F	T	F	F	F	T	T	F	F	F	T	T	""berliner-zeitung""	1	3	4	3	2			1	2		5	2	2	4			4			32	2	1	5	4		4		4	4	3	3	2	6	3	T	F	F	F	F	F	T	F	T	F	F		2	2	3	T	F	21	21	21	1	2	12	14"
"669			""base""	""interview""	2016-06-02 09:48:50	2	1																												1	2	1	4			4			33	2	3		4		4		4	2	2	4	1	6	1	T	F	F	F	F	F	F	F	F	F	F		2	2	2	T	F	21	21	31	6	74	42	116"
"674			""base""	""interview""	2016-06-02 17:25:17	1	2		1	F	F	T	F	F	F	F	F	F	F	F	F	F	F		1	3	4	3	2			3	2		10	2	2	4			3		""5,00""	33	1	2	4	4		2	""20,00""	5	3	3	4	2	6	3	F	F	F	T	F	F	T	T	F	F	F		1	X-9	4	T	F	21	21	19	2	23	4	27"
"680			""base""	""interview""	2016-06-02 22:23:24	1	1	""3""	4	F	F	T	F	F	F	F	T	T	F	F	F	T	F		2	1	3	3	2			2	2		0	1	1	4			4			34	2	1	1	4		4		3	1	3	3	1	6	1	F	F	F	F	F	F	F	F	T	F	F		10	2	6	T	F	21	21	21	1	2	23	25"
"689			""base""	""interview""	2016-06-03 13:08:36	2																													15	3	2	2	20		3		""0,50""	35	1	3	2	4		4		3	4	4	4	2	6	0	F	F	F	F	F	F	F	F	F	F	F		4	2	X-9	T	F	21	21	25	6	73	11	83"
"690			""base""	""interview""	2016-06-03 13:08:45	1	1	""5""	5	F	F	T	F	T	F	F	T	T	F	F	F	F	T	""Afp""	1	1	4	5	2			5	2		1	2	1	4			4			35	2	1	1	4		4		3	1	3	4	2	6	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	23	2	25	8	33"
"691			""base""	""interview""	2016-06-03 13:09:14	2																													20	2	2	4			4			34	1	2	2	4		4		3	3	3	5	2	4	1	F	F	F	F	T	F	F	F	F	F	F		1	7	4	T	F	21	21	31	1	8	24	32"
"695			""base""	""interview""	2016-06-03 18:52:18	2																													0	3	1	4			4			36	2	1	1	4		4		5	1	3	4	2	4	3	F	F	F	T	T	F	F	F	F	F	T	""vergleichbarer Hochschulabschluss Kirche""	2	X-9	3	T	F	21	21	31	4	41	0	41"
"696			""base""	""interview""	2016-06-03 19:09:44	2																													20	3	2	4			4			36	1	4	1	4		4		5	5	5	5	1	5	1	F	F	F	F	T	F	F	F	F	F	F		2	X-9	3	T	F	21	21	32	4	43	14	57"
"697			""base""	""interview""	2016-06-03 19:56:22	2																													10	2	1	4			4			37	2	3	1	4		4		4	3	2	4	2	4	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	32	4	43	7	50"
"706			""base""	""interview""	2016-06-04 06:23:21	2																													16	2	1	3		5	4			37	1	2	4	4		4		4	5	2	5	2	6	2	F	F	F	T	F	F	F	T	F	F	F		1	X-9	4	T	F	21	21	29	4	40	1	41"
"711			""base""	""interview""	2016-06-04 14:19:34	2																													12	3	1	4			4			38	1	1	1	4		4		3	4	4	4	2	6	1	F	F	F	T	F	F	F	F	F	F	F		1	X-9	3	T	F	21	21	32	4	43	11	54"
"712			""base""	""interview""	2016-06-04 16:38:50	1	1		1	F	F	F	F	F	F	F	F	F	F	F	F	F	T	""BBC ""	2	1	4	3	2			5	2		3	2	1	4			4			38	2	4	2	4		4		5	5	4	5	2	5	1	F	F	F	F	F	F	T	F	F	F	F		4	7	1	T	F	21	21	25	4	42	0	43"
"718			""base""	""interview""	2016-06-05 10:27:41	1	1		4	F	F	T	F	F	T	F	F	F	F	F	F	T	T	""Welt, Postillon ""	2	3	4	4	2			5	2		20	3	1	4			4			39	1	2	2	4		4		4	2	5	3	2	6	1	F	F	F	F	F	F	F	F	T	F	F		1	X-9	4	T	F	21	21	26	5	65	11	76"
"719			""base""	""interview""	2016-06-05 11:29:49	2																													2	1	2	4			4			39	2	2	2	4		4		4	4	3	4	X-9	X-9	1	F	F	F	T	F	F	F	F	F	F	F		2	5	2	T	F	21	21	36	11	140	22	162"
"722			""base""	""interview""	2016-06-05 13:47:04	2																													3	2	2	4			4			40	2	3	2	4		4		4	4	2	3	1	6	1	F	F	F	F	F	F	T	F	F	F	F		2	2	3	T	F	21	21	29	1	8	18	26"
